,datetime,price,ticker,date,sp500,ln_return_index,ln_return_price,roll_resid,year,month
13125,2017-06-15,117.9800033569336,ALXN,2017-06-15,4693.8598630000015,-0.0020580024400785007,-0.0001694774373235742,-0.0001694774373235742,2017,6
13132,2017-06-16,113.9800033569336,ALXN,2017-06-16,4695.22998,0.0002918529980294122,-0.034492123169535246,-0.034492123169535246,2017,6
13139,2017-06-19,116.16000366210938,ALXN,2017-06-19,4734.47998,0.0083248004111501,0.018945558744103263,0.018945558744103263,2017,6
13146,2017-06-20,119.0500030517578,ALXN,2017-06-20,4702.819824,-0.006709604533631362,0.024575015964215192,0.024575015964215192,2017,6
13153,2017-06-21,123.58000183105469,ALXN,2017-06-21,4700.5,-0.0004934053271574286,0.037345135882465,0.037345135882465,2017,6
13160,2017-06-22,126.2300033569336,ALXN,2017-06-22,4698.399902,-0.0004468816684604907,0.021216931908966653,0.021216931908966653,2017,6
13167,2017-06-23,126.06999969482422,ALXN,2017-06-23,4705.72998,0.001558906475438404,-0.001268360536063012,-0.001268360536063012,2017,6
13174,2017-06-26,125.08999633789062,ALXN,2017-06-26,4707.27002,0.0003272155558783331,-0.0078038568716397375,-0.0078038568716397375,2017,6
13181,2017-06-27,122.11000061035156,ALXN,2017-06-27,4669.27002,-0.008105379570444615,-0.02411116610754772,-0.02411116610754772,2017,6
13188,2017-06-28,125.80999755859376,ALXN,2017-06-28,4711.330078,0.008967515813460466,0.0298505301142318,0.0298505301142318,2017,6
13195,2017-06-29,122.43000030517578,ALXN,2017-06-29,4670.959961,-0.00860565298526929,-0.027233372379057867,-0.027233372379057867,2017,6
13202,2017-06-30,121.66999816894531,ALXN,2017-06-30,4678.3598630000015,0.0015829822242789254,-0.0062269938284739,-0.0062269938284739,2017,6
13209,2017-07-03,121.08000183105469,ALXN,2017-07-03,4689.6098630000015,0.002401802255378576,-0.004860947473802691,-0.004860947473802691,2017,7
13216,2017-07-05,125.0500030517578,ALXN,2017-07-05,4697.339844,0.0016469637078219913,0.03226218245172574,0.03226218245172574,2017,7
13223,2017-07-06,121.08999633789062,ALXN,2017-07-06,4655.02002,-0.009050146372888684,-0.032179641204525974,-0.032179641204525974,2017,7
13230,2017-07-07,123.05999755859376,ALXN,2017-07-07,4684.879883,0.006394065256110056,0.016137980949788164,0.016137980949788164,2017,7
13237,2017-07-10,123.76000213623048,ALXN,2017-07-10,4689.25,0.0009323782305416844,0.005672202052693645,0.005672202052693645,2017,7
13244,2017-07-11,124.31999969482422,ALXN,2017-07-11,4685.6401369999985,-0.0007701131694682877,0.004514660638692953,0.004514660638692953,2017,7
13251,2017-07-12,124.94000244140624,ALXN,2017-07-12,4720.279785,0.007365532534888213,0.0049747574414757845,0.0049747574414757845,2017,7
13258,2017-07-13,126.91000366210938,ALXN,2017-07-13,4729.25,0.001898553239902244,0.015644561071975625,0.015644561071975625,2017,7
13265,2017-07-14,126.70999908447266,ALXN,2017-07-14,4751.430176,0.004679034848722099,-0.0015771990925873306,-0.0015771990925873306,2017,7
13272,2017-07-17,125.77999877929688,ALXN,2017-07-17,4751.330078,-2.106714203616827e-05,-0.0073666641751494065,-0.0073666641751494065,2017,7
13279,2017-07-18,126.7699966430664,ALXN,2017-07-18,4754.27002,0.0006185705401936516,0.00784005505983825,0.00784005505983825,2017,7
13286,2017-07-19,127.3000030517578,ALXN,2017-07-19,4780.25,0.005449680580416522,0.004172135066190288,0.004172135066190288,2017,7
13293,2017-07-20,129.80999755859378,ALXN,2017-07-20,4779.839844,-8.580588821743394e-05,0.019525294561046628,0.019525294561046628,2017,7
13300,2017-07-21,131.78999328613278,ALXN,2017-07-21,4778.069824,-0.0003703780599978424,0.01513787161475216,0.01513787161475216,2017,7
13307,2017-07-24,130.74000549316406,ALXN,2017-07-24,4773.100098,-0.0010406529229584377,-0.007999035511596296,-0.007999035511596296,2017,7
13314,2017-07-25,129.35000610351562,ALXN,2017-07-25,4787.040039,0.0029162649667693677,-0.01068870438243564,-0.01068870438243564,2017,7
13321,2017-07-26,131.07000732421878,ALXN,2017-07-26,4788.410156,0.00028617286528524364,0.013209631693572584,0.013209631693572584,2017,7
13328,2017-07-27,133.91999816894528,ALXN,2017-07-27,4784.259765999999,-0.0008671332645714354,0.021511005556754788,0.021511005556754788,2017,7
13335,2017-07-28,137.99000549316406,ALXN,2017-07-28,4778.02002,-0.0013050751547290086,0.02993866550346889,0.02993866550346889,2017,7
13342,2017-07-31,137.33999633789062,ALXN,2017-07-31,4774.560059,-0.0007244034852761821,-0.004721682043904194,-0.004721682043904194,2017,7
13349,2017-08-01,137.78999328613278,ALXN,2017-08-01,4786.27002,0.002449571168739769,0.0032711617524721305,0.0032711617524721305,2017,8
13356,2017-08-02,137.97000122070312,ALXN,2017-08-02,4789.540039,0.0006829749351673445,0.0013055407870888173,0.0013055407870888173,2017,8
13363,2017-08-03,136.72000122070312,ALXN,2017-08-03,4779.990234000001,-0.0019958781460997278,-0.009101231331715105,-0.009101231331715105,2017,8
13370,2017-08-04,136.63999938964844,ALXN,2017-08-04,4789.1098630000015,0.0019060583897271299,-0.0005853221624240687,-0.0005853221624240687,2017,8
13377,2017-08-07,138.33000183105472,ALXN,2017-08-07,4797.129883,0.001673236239370077,0.01229242255018187,0.01229242255018187,2017,8
13384,2017-08-08,136.03999328613278,ALXN,2017-08-08,4786.120117,-0.0022977112866336847,-0.016693237336744774,-0.016693237336744774,2017,8
13391,2017-08-09,136.85000610351562,ALXN,2017-08-09,4784.939941,-0.00024661343651179293,0.005936569299890158,0.005936569299890158,2017,8
13398,2017-08-10,132.30000305175778,ALXN,2017-08-10,4717.399902,-0.014215693717512525,-0.0338133858988662,-0.0338133858988662,2017,8
13405,2017-08-11,132.92999267578122,ALXN,2017-08-11,4723.72998,0.001340957920855111,0.004750524593331098,0.004750524593331098,2017,8
13412,2017-08-14,133.96000671386722,ALXN,2017-08-14,4771.430176,0.010047349700372278,0.007718679263256944,0.007718679263256944,2017,8
13419,2017-08-15,135.21000671386722,ALXN,2017-08-15,4770.149902,-0.0002683568124393167,0.009287876981323781,0.009287876981323781,2017,8
13426,2017-08-16,136.55000305175778,ALXN,2017-08-16,4778.279785,0.0017028737145417339,0.00986169524295338,0.00986169524295338,2017,8
13433,2017-08-17,134.6300048828125,ALXN,2017-08-17,4704.72998,-0.0155122227369662,-0.01416055900920064,-0.01416055900920064,2017,8
13440,2017-08-18,133.39999389648438,ALXN,2017-08-18,4696.220215,-0.0018104057883008514,-0.009178223531494667,-0.009178223531494667,2017,8
13447,2017-08-21,133.42999267578122,ALXN,2017-08-21,4701.819824,0.0011916547789544041,0.0002248531344516697,0.0002248531344516697,2017,8
13454,2017-08-22,138.19999694824222,ALXN,2017-08-22,4748.72998,0.009927579294036362,0.03512494838890204,0.03512494838890204,2017,8
13461,2017-08-23,135.66999816894528,ALXN,2017-08-23,4732.759765999999,-0.003368717265042692,-0.0184764362505547,-0.0184764362505547,2017,8
13468,2017-08-24,137.77999877929688,ALXN,2017-08-24,4723.029785,-0.0020579951323306494,0.015432748304419628,0.015432748304419628,2017,8
13475,2017-08-25,137.53999328613278,ALXN,2017-08-25,4731.459961,0.0017833174418997297,-0.0017434662274865673,-0.0017434662274865673,2017,8
13482,2017-08-28,139.02000427246094,ALXN,2017-08-28,4733.970215,0.0005304046434606438,0.010703103327282457,0.010703103327282457,2017,8
13489,2017-08-29,138.3800048828125,ALXN,2017-08-29,4738.620117,0.0009817594154317595,-0.004614279048845837,-0.004614279048845837,2017,8
13496,2017-08-30,138.44999694824222,ALXN,2017-08-30,4761.720215,0.004863013895724833,0.0005056682184601887,0.0005056682184601887,2017,8
13503,2017-08-31,142.41000366210938,ALXN,2017-08-31,4789.180176,0.005750250874849453,0.028201019371929502,0.028201019371929502,2017,8
13510,2017-09-01,144.0800018310547,ALXN,2017-09-01,4798.990234000001,0.002046284328215593,0.011658466629707483,0.011658466629707483,2017,9
13517,2017-09-05,144.72000122070312,ALXN,2017-09-05,4762.75,-0.007580295353337527,0.004432135945672335,0.004432135945672335,2017,9
13524,2017-09-06,145.1199951171875,ALXN,2017-09-06,4777.689941,0.003131921233079433,0.0027601031981325692,0.0027601031981325692,2017,9
13531,2017-09-07,143.5,ALXN,2017-09-07,4777.930176,5.0281404473845484e-05,-0.011225917520426735,-0.011225917520426735,2017,9
13538,2017-09-08,141.19000244140625,ALXN,2017-09-08,4771.02002,-0.0014473124405083339,-0.016228516886605066,-0.016228516886605066,2017,9
13545,2017-09-11,142.92999267578125,ALXN,2017-09-11,4822.799805,0.010794509117622145,0.0122484303645546,0.0122484303645546,2017,9
13552,2017-09-12,144.07000732421875,ALXN,2017-09-12,4839.310059,0.0034175289458903495,0.007944394733672176,0.007944394733672176,2017,9
13559,2017-09-13,146.4600067138672,ALXN,2017-09-13,4843.040039,0.0007704700091950049,0.01645305606258632,0.01645305606258632,2017,9
13566,2017-09-14,144.61000061035156,ALXN,2017-09-14,4839.290039,-0.0007746069711103244,-0.012711931626509836,-0.012711931626509836,2017,9
13573,2017-09-15,146.69000244140625,ALXN,2017-09-15,4848.839844,0.00197144510000353,0.014281065295601235,0.014281065295601235,2017,9
13580,2017-09-18,143.63999938964844,ALXN,2017-09-18,4856.080078,0.0014920752363601108,-0.021011368034268615,-0.021011368034268615,2017,9
13587,2017-09-19,142.8300018310547,ALXN,2017-09-19,4861.52002,0.00111960618123707,-0.005655040414351084,-0.005655040414351084,2017,9
13594,2017-09-20,142.9199981689453,ALXN,2017-09-20,4864.6098630000015,0.0006353694925148534,0.0006298956491078235,0.0006298956491078235,2017,9
13601,2017-09-21,142.9199981689453,ALXN,2017-09-21,4849.950195,-0.0030180839976650313,0.0,0.0,2017,9
