,ticker,year,month,gs_poswords,gs_negwords
518,VRTX,2019,3,0,0
519,VRTX,2019,4,0,0
520,VRTX,2019,5,0,0
521,VRTX,2019,6,0,0
522,VRTX,2019,7,0,0
523,VRTX,2019,8,0,0
524,VRTX,2019,9,0,0
525,VRTX,2019,10,0,0
526,VRTX,2019,11,0,0
527,VRTX,2019,12,0,0
528,VRTX,2020,1,0,0
529,VRTX,2020,2,0,0
530,VRTX,2020,3,0,0
531,VRTX,2020,4,0,0
532,VRTX,2020,5,0,0
533,VRTX,2020,7,0,0
534,VRTX,2020,8,0,0
535,VRTX,2020,10,0,0
536,VRTX,2020,11,0,0
537,VRTX,2020,12,0,0
