,ticker,date,poswords,negwords,daily_filing_count
306,AMGN,2006-03-10,9806.0,26243.0,1
307,AMGN,2006-03-13,2166.0,4428.0,1
308,AMGN,2006-04-24,1633.0,3117.0,1
309,AMGN,2006-05-09,7878.0,18750.0,1
310,AMGN,2006-05-16,728.0,1682.0,1
311,AMGN,2006-07-14,603.0,1035.0,1
312,AMGN,2006-07-24,2157.0,3837.0,1
313,AMGN,2006-08-08,7844.0,16755.0,1
314,AMGN,2006-09-15,331.0,802.0,1
315,AMGN,2006-09-29,250.0,563.0,1
316,AMGN,2006-10-02,6904.0,10151.0,1
317,AMGN,2006-10-06,788.0,1704.0,1
318,AMGN,2006-10-19,107.0,347.0,1
319,AMGN,2006-10-23,2306.0,4198.0,1
320,AMGN,2006-11-09,6199.0,29634.0,1
321,AMGN,2007-01-19,78.0,296.0,1
322,AMGN,2007-01-23,319.0,306.0,1
323,AMGN,2007-01-25,2481.0,4449.0,1
324,AMGN,2007-02-09,211.0,471.0,1
325,AMGN,2007-02-20,2156.0,4195.0,1
326,AMGN,2007-02-28,11415.0,21604.0,1
327,AMGN,2007-03-02,147.0,398.0,1
328,AMGN,2007-03-12,261.0,606.0,1
329,AMGN,2007-04-12,181.0,571.0,1
330,AMGN,2007-04-23,1532.0,3178.0,1
331,AMGN,2007-05-09,6378.0,12607.0,1
332,AMGN,2007-05-15,85.0,312.0,1
333,AMGN,2007-05-18,224.0,642.0,1
334,AMGN,2007-05-22,3749.0,6926.0,1
335,AMGN,2007-05-23,234.0,632.0,1
336,AMGN,2007-05-25,430.0,1061.0,1
337,AMGN,2007-05-30,4295.0,8315.0,1
338,AMGN,2007-06-29,148.0,386.0,1
339,AMGN,2007-07-12,233.0,508.0,1
340,AMGN,2007-07-13,379.0,901.0,1
341,AMGN,2007-07-26,2145.0,3922.0,1
342,AMGN,2007-08-02,205.0,748.0,1
343,AMGN,2007-08-08,11709.0,22737.0,1
344,AMGN,2007-08-15,1040.0,3398.0,1
345,AMGN,2007-09-14,106.0,331.0,1
346,AMGN,2007-10-02,225.0,600.0,1
347,AMGN,2007-10-24,2382.0,4689.0,1
348,AMGN,2007-11-02,6604.0,10962.0,1
349,AMGN,2007-11-09,10572.0,21090.0,1
350,AMGN,2007-12-13,988.0,1462.0,1
351,AMGN,2008-01-14,647.0,1422.0,1
352,AMGN,2008-01-24,2468.0,4563.0,1
