date,sp500
2/28/2014,3347.379883
3/3/2014,3322.850098
3/4/2014,3373.639893
3/5/2014,3374.100098
3/6/2014,3380.48999
3/7/2014,3382.570068
3/10/2014,3381.219971
3/11/2014,3364.169922
3/12/2014,3366.070068
3/13/2014,3327.110107
3/14/2014,3317.810059
3/17/2014,3349.709961
3/18/2014,3373.97998
3/19/2014,3353.290039
3/20/2014,3373.600098
3/21/2014,3363.719971
3/24/2014,3347.360107
3/25/2014,3362.439941
3/26/2014,3339
3/27/2014,3333.22998
3/28/2014,3348.830078
3/31/2014,3375.51001
4/1/2014,3399.51001
4/2/2014,3409.800049
4/3/2014,3406
4/4/2014,3363.409912
4/7/2014,3327.27002
4/8/2014,3340.840088
4/9/2014,3377.610107
4/10/2014,3307.080078
4/11/2014,3276.040039
4/14/2014,3302.97998
4/15/2014,3325.300049
